BarName,License,State,City,Address,Phone,OpenTime,CloseTime,
33 Taps,OK34075,OK,Oklahoma City,744 06th Ti St,405-303-6256,00:00,24:00,
A.P. Stump's,TN27092,TN,Memphis,690 Duncan St,901-648-7388,16:00,08:00,
Academia,CO56242,CO,Denver,606 Sargent St,303-854-2521,00:00,24:00,
Altitude Sky Lounge,TX31658,TX,Austin,947 Fort Mason 10,512-654-8591,12:00,04:00,
Anvil Bar & Refuge,NV59143,NV,Las Vegas,564 Majestic Ave,702-445-4517,08:00,20:00,
Attaboy,CO93731,CO,Colorado Springs,706 Lincoln Ct,719-808-5596,12:00,04:00,
B.D. Riley's,GA48107,GA,Atlanta,735 11th Ave,404-556-5949,20:00,12:00,
BackBar,CA54722,CA,Sacramento,382 32nd Ave,916-452-4758,16:00,08:00,
Bar Agricole,MI86299,MI,Detroit,439 Mateo St,313-466-9174,12:00,04:00,
Bar Crudo ,CA29325,CA,San Francisco,965 Automobile Dr,628-605-5228,20:00,12:00,
Bar Goto,CA52662,CA,San Francisco,295 Washburn St,628-548-7536,16:00,08:00,
Barnacle Bar,TX25047,TX,Houston,289 Augusta St,713-355-1171,00:00,24:00,
Beach Tree Bar,TN54715,TN,Memphis,533 Montcalm St,901-703-1990,12:00,04:00,
Big Bar,WA63459,WA,Seattle,428 Poppy Ln,206-875-4412,12:00,04:00,
Billy Sunday,TX63742,TX,Dallas,795 Crissy Field Ave,214-110-9395,12:00,04:00,
Bit House Saloon,WA53631,WA,Seattle,27 Spreckels Lake Dr,206-543-1151,00:00,24:00,
BlackTail,NV72962,NV,Las Vegas,49 Shrader St,702-518-3246,16:00,08:00,
Blackberry Farm,CA21422,CA,San Francisco,519 Breen Pl,628-826-5108,20:00,12:00,
Blue Angel,NY76247,NY,New York,404 Ofarrell St,212-783-6296,20:00,12:00,
Blue Tattoo,LA60501,LA,New Orleans,633 Odd Fellows Way,504-643-0314,20:00,12:00,
Britannia Arms,MO27334,MO,Kansas City,1 Bowman Ct,816-166-2313,16:00,08:00,
Broken Shaker,MD34485,MD,Baltimore,950 Madrid St,443-627-0128,00:00,24:00,
Cabana,TX10930,TX,El Paso,218 26th Ave,915-474-6471,12:00,04:00,
Cannon,FL39094,FL,Long Beach,182 Castillo St,562-627-0459,12:00,04:00,
Caravan,LA94388,LA,New Orleans,790 Tuscany Aly,504-524-9163,00:00,24:00,
Charlie Was A Sinner,PA59025,PA,Philadelphia,145 Peters Ave,215-168-8932,12:00,04:00,
Clover Club,MD85729,MD,Baltimore,65 Century Pl,443-204-2546,08:00,20:00,
Club 175,CO67257,CO,Denver,234 Beatrice Ln,303-574-4508,16:00,08:00,
Club No Minors,MO97064,MO,Kansas City,430 Banks St,816-775-8937,20:00,12:00,
Clyde Common,WA34780,WA,Seattle,952 Palmetto Ave,206-412-6251,12:00,04:00,
Coconut Willie's Cocktail Lounge,NV17450,NV,Las Vegas,896 C St,702-206-4476,00:00,24:00,
Dante,NV68605,NV,Las Vegas,538 Westgate Dr,702-302-1683,08:00,20:00,
Daquiri Time Out,CA94100,CA,San Francisco,158 Normandie Ter,628-487-5371,20:00,12:00,
Death + Company,MD71075,MD,Baltimore,246 Essex St,443-211-5965,20:00,12:00,
Diamond Reef,PA31032,PA,Philadelphia,608 Chancery Ln,215-478-6268,12:00,04:00,
Distil,PA96146,PA,Philadelphia,411 Ford St,215-220-4551,12:00,04:00,
Donna,CO30487,CO,Colorado Springs,834 Jose Sarria Ct,719-847-5232,00:00,24:00,
Dram & Grain,OH13010,OH,Cleveland,261 Fielding St,216-423-5828,16:00,08:00,
Dutch Kills,MN70454,MN,Minneapolis,391 Natick St,612-538-9734,08:00,20:00,
Employees Only,MN28808,MN,Minneapolis,220 Shakespeare St,612-813-3641,16:00,08:00,
Eulipia,FL43153,FL,Long Beach,411 Laidley St,562-012-3662,16:00,08:00,
Everson Royce Bar,GA42382,GA,Atlanta,603 Amatista Ln,404-824-4193,20:00,12:00,
French 75,CA83702,CA,Sacramento,683 Judah St,916-803-4449,08:00,20:00,
Galaxie,CA77194,CA,San Francisco,450 Kern St,628-857-0445,20:00,12:00,
Gecko Grill,OR61023,OR,Portland,109 North Van Horn Ln,503-354-3599,00:00,24:00,
George & Dragon,AZ19263,AZ,Phoenix,31 Alta Mar Way,480-510-4968,08:00,20:00,
Giza Hookah Lounge,CA79198,CA,San Diego,567 Blackstone Ct,858-668-7103,08:00,20:00,
Goodnight Gracie Jazz & Martini Bar,FL93501,FL,Jacksonville,961 Arco Way,904-581-4211,08:00,20:00,
Half Step,TN32590,TN,Memphis,444 Crestlake Dr,901-710-5587,20:00,12:00,
Hedley Club,IL17426,IL,Chicago,905 Clipper Cove Way,773-522-1996,08:00,20:00,
Holeman & Finch Public House,OK58781,OK,Oklahoma City,455 11th Ave,405-838-2352,08:00,20:00,
Il Fornaio,OR11082,OR,Portland,272 Soule Ln,503-667-5772,08:00,20:00,
Julep,TN75836,TN,Memphis,760 Colon Ave,901-132-5813,00:00,24:00,
Kask,MN12426,MN,Minneapolis,215 Victoria St,612-285-5262,12:00,04:00,
King Cole Bar,OH32730,OH,Cleveland,35 Dalewood Way,216-307-0014,08:00,20:00,
Kon Tiki Restaurant Lounge,NY84055,NY,New York,247 Gladiolus Ln,212-806-2227,20:00,12:00,
Leyenda,CA82900,CA,San Diego,114 Diamond Cove Ter,858-722-5198,08:00,20:00,
Lost Lake,GA36016,GA,Atlanta,806 Tiffany Ave,404-312-3799,00:00,24:00,
Mace ,TX93903,TX,Austin,341 Rodriguez St,512-020-6773,12:00,04:00,
Mai Tai Bar,TX75146,TX,Dallas,844 Kissling St,214-024-4512,16:00,08:00,
Marvel Bar,TX85663,TX,Houston,3 Yerba Buena Ave,713-160-9881,08:00,20:00,
McMahon's Public House,FL63520,FL,Long Beach,864 Rae Ave,562-063-2903,16:00,08:00,
Milk Room,CA48944,CA,Sacramento,563 Antonio St,916-528-9862,08:00,20:00,
Million Dollar Cowboy Bar,LA22939,LA,New Orleans,632 College Ter,504-664-4666,16:00,08:00,
Molly's Shebeen,NY47812,NY,New York,368 Patten Rd,212-688-0469,20:00,12:00,
Multnomah Whiskey Library,CO40356,CO,Colorado Springs,851 Royal Ln,719-088-9498,16:00,08:00,
No Vacancy at the Juniper Hotel,OK42799,OK,Oklahoma City,28 Brady St,405-232-2004,20:00,12:00,
Occidental,CO34051,CO,Denver,844 Lindsay Cir,303-547-1641,00:00,24:00,
Old Ebbitt Grill,PA18589,PA,Philadelphia,453 Marvel Ct,215-817-3289,08:00,20:00,
PX,TX17991,TX,Houston,511 Homestead St,713-601-9488,12:00,04:00,
