BillID,BarName,Date,Time,ItemName,Price,Quantity,TipTotal,
TOSB-011A439F6E427511,The Old Seelbach Bar,11/7,09:18,Bud,8.0,1,9.6,
TOSB-011A439F6E427511,The Old Seelbach Bar,11/7,09:18,NoDa Hop Drop n Roll,17.75,2,42.6,
TOSB-011A439F6E427511,The Old Seelbach Bar,11/7,09:18,lemon juice,188,4,902.4,
TOSB-011A439F6E427511,The Old Seelbach Bar,11/7,09:18,Worcestershire sauce,180,1,216.0,
TO-2AC07A7C7F51FCF9,The Office,11/2,19:55,Upslope Brown Ale,7.5,3,27.0,
TO-2AC07A7C7F51FCF9,The Office,11/2,19:55,brandy,135,4,648.0,
TO-2AC07A7C7F51FCF9,The Office,11/2,19:55,Mandarin oranges,61,5,366.0,
TO-2AC07A7C7F51FCF9,The Office,11/2,19:55,bean threads,80,4,384.0,
TO-2AC07A7C7F51FCF9,The Office,11/2,19:55,breadcrumbs,159,2,381.6,
TO-2AC07A7C7F51FCF9,The Office,11/2,19:55,soybeans,81,4,388.8,
H&FPH-DADC3E5172C30229,Holeman & Finch Public House,11/5,14:29,Surly Brewing Darkness,23.99,3,86.36,
H&FPH-DADC3E5172C30229,Holeman & Finch Public House,11/5,14:29,Hefeweizen Doppelbock,25.5,1,30.6,
H&FPH-DADC3E5172C30229,Holeman & Finch Public House,11/5,14:29,almond extract,185,5,1110.0,
H&FPH-DADC3E5172C30229,Holeman & Finch Public House,11/5,14:29,anchovy paste,87,1,104.4,
H&FPH-DADC3E5172C30229,Holeman & Finch Public House,11/5,14:29,cornmeal,130,1,156.0,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,Surly Brewing Darkness,23.99,4,115.15,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,Cigar City Hanaphu Imperial Stout,14.25,1,17.1,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,Hefeweizen Doppelbock,25.5,3,91.8,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,Michelob Golden Draft,14.75,1,17.7,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,Saint Arnold Fancy Lawnmower,16.5,3,59.4,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,coffee,192,1,230.4,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,coffee,167,5,1002.0,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,garlic,195,4,936.0,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,hot chocolate,63,1,75.6,
H&FPH-5F89D99B9A0B0274,Holeman & Finch Public House,11/8,10:60,anchovies,66,3,237.6,
TVTR-D9B6759EDE5DE295,The Velvet Tango Room,11/1,04:09,Creamy Dark,4.75,2,11.4,
TVTR-D9B6759EDE5DE295,The Velvet Tango Room,11/1,04:09,Jai Alai IPA,8.0,4,38.4,
TVTR-D9B6759EDE5DE295,The Velvet Tango Room,11/1,04:09,pecans,89,2,213.6,
TVTR-D9B6759EDE5DE295,The Velvet Tango Room,11/1,04:09,plum tomatoes,105,3,378.0,
TVTR-D9B6759EDE5DE295,The Velvet Tango Room,11/1,04:09,tea,141,1,169.2,
TVTR-D9B6759EDE5DE295,The Velvet Tango Room,11/1,04:09,scallops,69,5,414.0,
TVTR-D9B6759EDE5DE295,The Velvet Tango Room,11/1,04:09,lentils,151,4,724.8,
A-83EF5F310E91033C,Attaboy,11/1,16:32,Jester King Boxer’s Revenge,18.0,2,43.2,
A-83EF5F310E91033C,Attaboy,11/1,16:32,Green Flash Palate Wrecker,18.99,1,22.79,
A-83EF5F310E91033C,Attaboy,11/1,16:32,Wicked Weed Serenity,1.25,2,3.0,
A-83EF5F310E91033C,Attaboy,11/1,16:32,Hill Farmstead Everett Porter,6.25,2,15.0,
A-83EF5F310E91033C,Attaboy,11/1,16:32,chicory,92,1,110.4,
A-83EF5F310E91033C,Attaboy,11/1,16:32,pea beans,170,4,816.0,
TH-00065796AA235B79,The Hawthorne,11/8,01:02,NoDa Hop Drop n Roll,17.75,1,21.3,
TH-00065796AA235B79,The Hawthorne,11/8,01:02,Stone IPA,24.99,1,29.99,
TH-00065796AA235B79,The Hawthorne,11/8,01:02,bouillon,91,4,436.8,
TH-00065796AA235B79,The Hawthorne,11/8,01:02,granola,130,4,624.0,
TH-00065796AA235B79,The Hawthorne,11/8,01:02,cantaloupes,126,1,151.2,
TH-00065796AA235B79,The Hawthorne,11/8,01:02,apricots,129,1,154.8,
TH-00065796AA235B79,The Hawthorne,11/8,01:02,strawberry milkshake,161,4,772.8,
TGITR-E55F90BF223088D9,The Griswold Inn Tap Room,11/2,02:35,AleSmith Horny Devil,9.25,1,11.1,
TGITR-E55F90BF223088D9,The Griswold Inn Tap Room,11/2,02:35,The Alchemist Focal Banger,9.25,4,44.4,
TGITR-E55F90BF223088D9,The Griswold Inn Tap Room,11/2,02:35,earl gray's tea,145,1,174.0,
TGITR-E55F90BF223088D9,The Griswold Inn Tap Room,11/2,02:35,pickles,184,2,441.6,
TGITR-E55F90BF223088D9,The Griswold Inn Tap Room,11/2,02:35,leeks,160,5,960.0,
TGITR-E55F90BF223088D9,The Griswold Inn Tap Room,11/2,02:35,ricotta cheese,154,5,924.0,
TGITR-E55F90BF223088D9,The Griswold Inn Tap Room,11/2,02:35,sweet potatoes,135,4,648.0,
TDR-A4ABC8C24847B5B7,The Dead Rabbit,11/6,12:05,Surly Brewing Darkness,23.99,4,115.15,
TDR-A4ABC8C24847B5B7,The Dead Rabbit,11/6,12:05,dates,129,4,619.2,
TDR-A4ABC8C24847B5B7,The Dead Rabbit,11/6,12:05,tomato juice,166,4,796.8,
TDR-A4ABC8C24847B5B7,The Dead Rabbit,11/6,12:05,pancetta,96,1,115.2,
E-52EDAD002928EC30,Eulipia,11/2,18:26,Fullsteam Carver,16.25,2,39.0,
E-52EDAD002928EC30,Eulipia,11/2,18:26,Clown Shoes Undead Party Crasher,27.75,4,133.2,
E-52EDAD002928EC30,Eulipia,11/2,18:26,New Holland Dragon’s Milk,9.75,3,35.1,
E-52EDAD002928EC30,Eulipia,11/2,18:26,DC Brau On the Wings Of Armageddon,6.99,2,16.78,
E-52EDAD002928EC30,Eulipia,11/2,18:26,Deschutes Black Butte Porter,8.0,3,28.8,
E-52EDAD002928EC30,Eulipia,11/2,18:26,horseradish,129,2,309.6,
E-52EDAD002928EC30,Eulipia,11/2,18:26,orange juice,191,3,687.6,
E-52EDAD002928EC30,Eulipia,11/2,18:26,pineapples,88,5,528.0,
E-52EDAD002928EC30,Eulipia,11/2,18:26,fennel seeds,138,2,331.2,
E-52EDAD002928EC30,Eulipia,11/2,18:26,yogurt,179,5,1074.0,
G&D-F435404939AD7A89,George & Dragon,11/5,09:29,Zima Citrus,15.99,3,57.56,
G&D-F435404939AD7A89,George & Dragon,11/5,09:29,Killian's,25.99,1,31.19,
G&D-F435404939AD7A89,George & Dragon,11/5,09:29,Bud,8.0,3,28.8,
G&D-F435404939AD7A89,George & Dragon,11/5,09:29,Cigar City Hanaphu Imperial Stout,14.25,3,51.3,
G&D-F435404939AD7A89,George & Dragon,11/5,09:29,ketchup,133,2,319.2,
G&D-F435404939AD7A89,George & Dragon,11/5,09:29,cookies,137,1,164.4,
PS-310F6EAD846C989A,Prairie School,11/5,12:25,Tröegs Nugget Nectar,15.99,3,57.56,
PS-310F6EAD846C989A,Prairie School,11/5,12:25,Michelob Amber Bock,6.25,3,22.5,
PS-310F6EAD846C989A,Prairie School,11/5,12:25,corn,133,4,638.4,
EO-76A259DF4DFF5C88,Employees Only,11/1,16:32,ICEHOUSE,16.99,3,61.16,
EO-76A259DF4DFF5C88,Employees Only,11/1,16:32,Michelob Golden Draft Light,28.75,4,138.0,
EO-76A259DF4DFF5C88,Employees Only,11/1,16:32,dr. pepper,146,4,700.8,
EO-76A259DF4DFF5C88,Employees Only,11/1,16:32,sunflower seeds,154,1,184.8,
EO-76A259DF4DFF5C88,Employees Only,11/1,16:32,pomegranates,196,4,940.8,
GG-CD0745228D80DEE5,Gecko Grill,11/3,13:04,Wicked Weed Serenity,1.25,4,6.0,
GG-CD0745228D80DEE5,Gecko Grill,11/3,13:04,hoisin sauce,96,3,345.6,
HC-86BF50ECDAF4CF6A,Hedley Club,11/6,09:44,Breckenridge Vanilla Porter,8.75,2,21.0,
HC-86BF50ECDAF4CF6A,Hedley Club,11/6,09:44,Lost Abbey Duck Duck Gooze,11.5,4,55.2,
HC-86BF50ECDAF4CF6A,Hedley Club,11/6,09:44,unsweetened chocolate,136,3,489.6,
HC-86BF50ECDAF4CF6A,Hedley Club,11/6,09:44,peanut butter,145,4,696.0,
HC-86BF50ECDAF4CF6A,Hedley Club,11/6,09:44,cumin,191,3,687.6,
HC-86BF50ECDAF4CF6A,Hedley Club,11/6,09:44,moo shu wrappers,149,1,178.8,
HC-86BF50ECDAF4CF6A,Hedley Club,11/6,09:44,tomato juice,72,3,259.2,
TH-5839FF021C689CF3,The Hawthorne,11/1,23:07,Alpine Great,26.0,1,31.2,
TH-5839FF021C689CF3,The Hawthorne,11/1,23:07,shallots,189,5,1134.0,
TH-5839FF021C689CF3,The Hawthorne,11/1,23:07,strawberry milkshake,159,2,381.6,
TH-5839FF021C689CF3,The Hawthorne,11/1,23:07,granola,125,5,750.0,
TH-5839FF021C689CF3,The Hawthorne,11/1,23:07,apricots,125,4,600.0,
TH-5839FF021C689CF3,The Hawthorne,11/1,23:07,chicken,181,1,217.2,
D-81EA2D9B2DC4B57E,Donna,11/3,20:04,Dale's Pale Ale,24.5,1,29.4,
D-81EA2D9B2DC4B57E,Donna,11/3,20:04,Michelob Golden Draft,14.75,1,17.7,
D-81EA2D9B2DC4B57E,Donna,11/3,20:04,Terrapin Wake n Bake,24.5,4,117.6,
D-81EA2D9B2DC4B57E,Donna,11/3,20:04,fanta,99,4,475.2,
D-81EA2D9B2DC4B57E,Donna,11/3,20:04,kale,78,5,468.0,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,Schlafly Pumpkin Ale,21.99,2,52.78,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,Michelob Golden Draft,14.75,1,17.7,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,Westbrook Gose,9.25,4,44.4,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,Michelob Amber Bock,6.25,3,22.5,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,Cascade Brewing Apricot Ale,10.75,2,25.8,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,vinegar,173,4,830.4,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,sardines,107,3,385.2,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,turtle,80,2,192.0,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,spaghetti squash,141,5,846.0,
BS-55F22CE0CF7AECD2,Billy Sunday,11/4,12:47,bay leaves,104,5,624.0,
P-D50C46B18001485A,PX,11/1,20:22,Firestone Walker Union Jack IPA,13.5,2,32.4,
P-D50C46B18001485A,PX,11/1,20:22,Bell’s Hop Slam,28.25,3,101.7,
P-D50C46B18001485A,PX,11/1,20:22,Michelob Golden Draft Light,28.75,1,34.5,
P-D50C46B18001485A,PX,11/1,20:22,NoDa Hop Drop n Roll,17.75,1,21.3,
P-D50C46B18001485A,PX,11/1,20:22,Zima,17.75,1,21.3,
P-D50C46B18001485A,PX,11/1,20:22,leeks,63,1,75.6,
P-D50C46B18001485A,PX,11/1,20:22,poppy seeds,142,1,170.4,
P-D50C46B18001485A,PX,11/1,20:22,red snapper,145,4,696.0,
P-D50C46B18001485A,PX,11/1,20:22,almond extract,71,3,255.6,
P-D50C46B18001485A,PX,11/1,20:22,water,57,5,342.0,
TA-B943C683169B9D77,The Alembic,11/3,04:21,Westbrook Gose,9.25,3,33.3,
TA-B943C683169B9D77,The Alembic,11/3,04:21,Russian River Blind Pig IPA,4.5,2,10.8,
TA-B943C683169B9D77,The Alembic,11/3,04:21,The Bruery Saison Rue,18.5,3,66.6,
TA-B943C683169B9D77,The Alembic,11/3,04:21,The Alchemist Focal Banger,9.25,1,11.1,
TA-B943C683169B9D77,The Alembic,11/3,04:21,Goose Island Bourbon County Stout,23.25,3,83.7,
TA-B943C683169B9D77,The Alembic,11/3,04:21,pecans,127,3,457.2,
TA-B943C683169B9D77,The Alembic,11/3,04:21,coconuts,65,4,312.0,
TGITR-658A0F0D700DEE55,The Griswold Inn Tap Room,11/8,08:54,Allagash Curieux,9.25,2,22.2,
TGITR-658A0F0D700DEE55,The Griswold Inn Tap Room,11/8,08:54,Clown Shoes Undead Party Crasher,27.75,4,133.2,
TGITR-658A0F0D700DEE55,The Griswold Inn Tap Room,11/8,08:54,Extra Gold,11.99,3,43.16,
TGITR-658A0F0D700DEE55,The Griswold Inn Tap Room,11/8,08:54,Firestone Walker Union Jack IPA,13.5,4,64.8,
TGITR-658A0F0D700DEE55,The Griswold Inn Tap Room,11/8,08:54,kale,54,1,64.8,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,Avery Uncle Jacob’s Stout,27.5,4,132.0,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,Deschutes Black Butte Porter,8.0,2,19.2,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,Killian's,25.99,1,31.19,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,Three Floyds Dark Lord,27.25,4,130.8,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,cream of tartar,83,5,498.0,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,Canadian bacon,50,5,300.0,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,halibut,176,1,211.2,
TBC-43074926FC2FD8C8,The Blank Club,11/7,09:38,remoulade,163,5,978.0,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,Perennial Artisan Ales Abraxas Imperial Stout,8.0,4,38.4,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,Green Flash Palate Wrecker,18.99,4,91.15,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,Goose Island Bourbon County Stout,23.25,4,111.6,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,Russian River Pliny the Elder,4.25,4,20.4,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,Blue Moon,7.75,3,27.9,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,tortillas,184,1,220.8,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,anchovies,109,1,130.8,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,figs,54,4,259.2,
BA-853AB7DA4A8F3137,Britannia Arms,11/1,07:46,raw sugar,116,1,139.2,
TVTR-0D23A51CE4AD890B,The Velvet Tango Room,11/1,14:55,Revolution Anti-Hero IPA,11.5,2,27.6,
TVTR-0D23A51CE4AD890B,The Velvet Tango Room,11/1,14:55,The Bruery Saison Rue,18.5,1,22.2,
TVTR-0D23A51CE4AD890B,The Velvet Tango Room,11/1,14:55,Upslope Brown Ale,7.5,3,27.0,
TVTR-0D23A51CE4AD890B,The Velvet Tango Room,11/1,14:55,The Alchemist Focal Banger,9.25,2,22.2,
TVTR-0D23A51CE4AD890B,The Velvet Tango Room,11/1,14:55,pinto beans,52,2,124.8,
R-2311BA24D1C391B6,Range,11/5,19:25,DC Brau On the Wings Of Armageddon,6.99,3,25.16,
R-2311BA24D1C391B6,Range,11/5,19:25,lentils,186,2,446.4,
P-911D645CC97E7E52,PX,11/4,02:28,Bell’s Two Hearted,20.25,2,48.6,
P-911D645CC97E7E52,PX,11/4,02:28,Michelob Golden Draft Light,28.75,2,69.0,
P-911D645CC97E7E52,PX,11/4,02:28,Samuel Adams Utopias,10.75,1,12.9,
P-911D645CC97E7E52,PX,11/4,02:28,Lagunitas Brown Shugga,3.25,1,3.9,
P-911D645CC97E7E52,PX,11/4,02:28,sea cucumbers,169,2,405.6,
P-911D645CC97E7E52,PX,11/4,02:28,leeks,59,4,283.2,
P-911D645CC97E7E52,PX,11/4,02:28,almond extract,68,3,244.8,
P-911D645CC97E7E52,PX,11/4,02:28,sardines,140,2,336.0,
GHL-1BFCACF1D5BFC286,Giza Hookah Lounge,11/3,11:38,Original Premium Lager,10.0,4,48.0,
GHL-1BFCACF1D5BFC286,Giza Hookah Lounge,11/3,11:38,vegemite,71,5,426.0,
GHL-1BFCACF1D5BFC286,Giza Hookah Lounge,11/3,11:38,bananas,148,4,710.4,
GHL-1BFCACF1D5BFC286,Giza Hookah Lounge,11/3,11:38,flax seed,157,2,376.8,
CNM-E096F97F563C8404,Club No Minors,11/8,03:04,Foothills Brewing Sexual Chocolate,19.5,1,23.4,
CNM-E096F97F563C8404,Club No Minors,11/8,03:04,Capital Autumnal Fire Doppelbock,18.99,4,91.15,
CNM-E096F97F563C8404,Club No Minors,11/8,03:04,eel,120,4,576.0,
S-853EDD9E23FEBB61,Social,11/5,09:52,Extra Gold,11.99,4,57.55,
S-853EDD9E23FEBB61,Social,11/5,09:52,Bell’s Hop Slam,28.25,3,101.7,
S-853EDD9E23FEBB61,Social,11/5,09:52,ICEHOUSE,16.99,4,81.55,
S-853EDD9E23FEBB61,Social,11/5,09:52,Jai Alai IPA,8.0,3,28.8,
S-853EDD9E23FEBB61,Social,11/5,09:52,The Bruery Saison Rue,18.5,2,44.4,
S-853EDD9E23FEBB61,Social,11/5,09:52,plum tomatoes,168,3,604.8,
D&G-D12DFB7BB86E8F4C,Dram & Grain,11/2,06:52,Terrapin Wake n Bake,24.5,1,29.4,
D&G-D12DFB7BB86E8F4C,Dram & Grain,11/2,06:52,monkfish,155,5,930.0,
D&G-D12DFB7BB86E8F4C,Dram & Grain,11/2,06:52,split peas,148,1,177.6,
D&G-D12DFB7BB86E8F4C,Dram & Grain,11/2,06:52,nectarines,95,5,570.0,
D&G-D12DFB7BB86E8F4C,Dram & Grain,11/2,06:52,salt,126,3,453.6,
GG-570BF97A8915F097,Gecko Grill,11/3,24:20,Westbrook Mexican Cake,19.25,4,92.4,
GG-570BF97A8915F097,Gecko Grill,11/3,24:20,Dogfish Head 90 Minute IPA,29.99,4,143.95,
GG-570BF97A8915F097,Gecko Grill,11/3,24:20,coconut milk,148,1,177.6,
GG-570BF97A8915F097,Gecko Grill,11/3,24:20,capers,158,2,379.2,
GG-570BF97A8915F097,Gecko Grill,11/3,24:20,lemon juice,113,1,135.6,
KTRL-B75FBE6F2011F1E9,Kon Tiki Restaurant Lounge,11/8,12:24,Bell’s Two Hearted,20.25,2,48.6,
KTRL-B75FBE6F2011F1E9,Kon Tiki Restaurant Lounge,11/8,12:24,steak,56,5,336.0,
KTRL-B75FBE6F2011F1E9,Kon Tiki Restaurant Lounge,11/8,12:24,papayas,167,2,400.8,
KTRL-B75FBE6F2011F1E9,Kon Tiki Restaurant Lounge,11/8,12:24,hamburger,53,5,318.0,
HC-C33A413B7E647A23,Hedley Club,11/4,11:50,Breckenridge Vanilla Porter,8.75,2,21.0,
HC-C33A413B7E647A23,Hedley Club,11/4,11:50,Bud,8.0,4,38.4,
HC-C33A413B7E647A23,Hedley Club,11/4,11:50,Lost Abbey Duck Duck Gooze,11.5,1,13.8,
HC-C33A413B7E647A23,Hedley Club,11/4,11:50,pepsi,173,5,1038.0,
HC-C33A413B7E647A23,Hedley Club,11/4,11:50,mushrooms,189,4,907.2,
MPH-7B9465AF794B85AC,McMahon's Public House,11/6,00:56,Russian River Pliny the Elder,4.25,4,20.4,
MPH-7B9465AF794B85AC,McMahon's Public House,11/6,00:56,Foothills Brewing Sexual Chocolate,19.5,3,70.2,
MPH-7B9465AF794B85AC,McMahon's Public House,11/6,00:56,New Glarus Brewing Serendipity,7.0,4,33.6,
MPH-7B9465AF794B85AC,McMahon's Public House,11/6,00:56,cantaloupes,108,1,129.6,
MPH-7B9465AF794B85AC,McMahon's Public House,11/6,00:56,huckleberries,160,5,960.0,
C-77DAEB6022FCA29E,Cannon,11/8,18:57,Gigantic IPA,10.75,4,51.6,
C-77DAEB6022FCA29E,Cannon,11/8,18:57,vinegar,94,3,338.4,
C-77DAEB6022FCA29E,Cannon,11/8,18:57,white beans,79,4,379.2,
C-77DAEB6022FCA29E,Cannon,11/8,18:57,veal,145,4,696.0,
S-D9449B9685CEDEE6,Spirit,11/4,04:19,Alpine Great,26.0,4,124.8,
S-D9449B9685CEDEE6,Spirit,11/4,04:19,Capital Autumnal Fire Doppelbock,18.99,1,22.79,
S-D9449B9685CEDEE6,Spirit,11/4,04:19,Dale's Pale Ale,24.5,4,117.6,
S-D9449B9685CEDEE6,Spirit,11/4,04:19,Original Premium,26.25,4,126.0,
S-D9449B9685CEDEE6,Spirit,11/4,04:19,coriander,178,4,854.4,
S-D9449B9685CEDEE6,Spirit,11/4,04:19,monkfish,171,2,410.4,
S-D9449B9685CEDEE6,Spirit,11/4,04:19,peas,138,3,496.8,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,Original Premium Lager,10.0,1,12.0,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,Firestone Walker Wookey Jack,15.0,4,72.0,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,Zima Citrus,15.99,3,57.56,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,Creamy Dark,4.75,2,11.4,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,Pipeworks Citra,23.75,3,85.5,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,pink beans,86,1,103.2,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,kidney beans,106,2,254.4,
BT-12721F042998E759,Blue Tattoo,11/6,08:21,colby cheese,128,3,460.8,
TVTR-049B3C80A6B4E45E,The Velvet Tango Room,11/5,04:21,Jester King Boxer’s Revenge,18.0,4,86.4,
TVTR-049B3C80A6B4E45E,The Velvet Tango Room,11/5,04:21,cabbage,171,3,615.6,
TVTR-049B3C80A6B4E45E,The Velvet Tango Room,11/5,04:21,Marsala,73,4,350.4,
TVTR-049B3C80A6B4E45E,The Velvet Tango Room,11/5,04:21,scallops,66,3,237.6,
S-0BDA63CE369B60B6,Social,11/8,23:60,ICEHOUSE,16.99,2,40.78,
S-0BDA63CE369B60B6,Social,11/8,23:60,Dogfish Head 90 Minute IPA,29.99,4,143.95,
S-0BDA63CE369B60B6,Social,11/8,23:60,Jai Alai IPA,8.0,3,28.8,
S-0BDA63CE369B60B6,Social,11/8,23:60,Cappuccino Latte,121,1,145.2,
TVTR-AFFFFE324E9972D8,The Velvet Tango Room,11/2,04:55,Jester King Boxer’s Revenge,18.0,2,43.2,
TVTR-AFFFFE324E9972D8,The Velvet Tango Room,11/2,04:55,Jai Alai IPA,8.0,2,19.2,
TVTR-AFFFFE324E9972D8,The Velvet Tango Room,11/2,04:55,shitakes,119,2,285.6,
TVTR-AFFFFE324E9972D8,The Velvet Tango Room,11/2,04:55,plum tomatoes,102,3,367.2,
TVTR-AFFFFE324E9972D8,The Velvet Tango Room,11/2,04:55,salt,129,4,619.2,
ERB-BFAEC195C6BADF09,Everson Royce Bar,11/5,06:23,Lagunitas Brown Shugga,3.25,2,7.8,
ERB-BFAEC195C6BADF09,Everson Royce Bar,11/5,06:23,macaroni,105,5,630.0,
ERB-BFAEC195C6BADF09,Everson Royce Bar,11/5,06:23,dried leeks,87,4,417.6,
ERB-BFAEC195C6BADF09,Everson Royce Bar,11/5,06:23,brussels sprouts,131,2,314.4,
ERB-BFAEC195C6BADF09,Everson Royce Bar,11/5,06:23,clams,124,5,744.0,
ERB-BFAEC195C6BADF09,Everson Royce Bar,11/5,06:23,red pepper flakes,94,1,112.8,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,Hill Farmstead Everett Porter,6.25,2,15.0,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,Cascade Brewing Apricot Ale,10.75,1,12.9,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,Founders KBS (Kentucky Breakfast Stout),12.5,4,60.0,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,barley sugar,97,3,349.2,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,monkfish,138,2,331.2,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,bananas,143,3,514.8,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,pheasants,80,2,192.0,
WU-25F8DADAB86945F7,Weather Up,11/8,12:22,rum,173,2,415.2,
BS-8D794D9C9CDB26A7,Billy Sunday,11/6,18:09,Firestone Walker Union Jack IPA,13.5,1,16.2,
BS-8D794D9C9CDB26A7,Billy Sunday,11/6,18:09,Fullsteam Carver,16.25,2,39.0,
BS-8D794D9C9CDB26A7,Billy Sunday,11/6,18:09,Westbrook Gose,9.25,2,22.2,
BS-8D794D9C9CDB26A7,Billy Sunday,11/6,18:09,Schlafly Pumpkin Ale,21.99,2,52.78,
BS-8D794D9C9CDB26A7,Billy Sunday,11/6,18:09,melons,88,5,528.0,
BS-8D794D9C9CDB26A7,Billy Sunday,11/6,18:09,ice cream,97,4,465.6,
BS-8D794D9C9CDB26A7,Billy Sunday,11/6,18:09,spinach,184,5,1104.0,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,Founders Breakfast Stout,10.5,1,12.6,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,Hefeweizen,4.25,4,20.4,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,The Bruery Sans Pagaie,19.0,2,45.6,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,Wicked Weed Serenity,1.25,4,6.0,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,Cigar City Hanaphu Imperial Stout,14.25,1,17.1,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,hot sauce,168,5,1008.0,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,swordfish,144,2,345.6,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,turtle,79,3,284.4,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,tomatoes,91,2,218.4,
TB-AE428DB2C41DC9F3,The B-Hive,11/4,19:05,kombucha,195,4,936.0,
TBN-194212CB7F086643,Taste by Niche,11/8,20:43,Kern River Brewing Citra DIPA,23.0,4,110.4,
TBN-194212CB7F086643,Taste by Niche,11/8,20:43,Allagash White,28.75,3,103.5,
TBN-194212CB7F086643,Taste by Niche,11/8,20:43,Jai Alai IPA,8.0,2,19.2,
TBN-194212CB7F086643,Taste by Niche,11/8,20:43,Saint Arnold Fancy Lawnmower,16.5,2,39.6,
TBN-194212CB7F086643,Taste by Niche,11/8,20:43,Firestone Walker Velvet Merkin,25.25,3,90.9,
TBN-194212CB7F086643,Taste by Niche,11/8,20:43,shitakes,60,3,216.0,
