BarName,Beername,Amount,
33 Taps,Funky Buddha Maple Bacon Coffee Porter,188,
33 Taps,Lagunitas Brown Shugga,236,
33 Taps,Perennial Artisan Ales Abraxas Imperial Stout,204,
33 Taps,Cigar City Hanaphu Imperial Stout,153,
33 Taps,Bell’s Hop Slam,180,
33 Taps,Clown Shoes Undead Party Crasher,137,
33 Taps,Smuttynose Finest Kind IPA,121,
33 Taps,Southpaw Light,150,
33 Taps,Breckenridge Vanilla Porter,130,
33 Taps,Dale's Pale Ale,205,
A.P. Stump's,The Bruery Saison Rue,169,
A.P. Stump's,The Bruery Sans Pagaie,227,
A.P. Stump's,Green Flash Palate Wrecker,105,
A.P. Stump's,Capital Autumnal Fire Doppelbock,200,
A.P. Stump's,Haymarket Angry Birds Rye IPA,151,
A.P. Stump's,Gigantic IPA,137,
A.P. Stump's,Kern River Brewing Citra DIPA,160,
A.P. Stump's,Hill Farmstead Abner,150,
A.P. Stump's,Goose Island Bourbon County Stout,186,
A.P. Stump's,Firestone Walker Parabola,185,
A.P. Stump's,Tröegs Nugget Nectar,143,
Academia,Russian River Supplication,120,
Academia,Killian's,199,
Academia,Firestone Walker Wookey Jack,156,
Academia,Michelob ULTRA,100,
Academia,Three Floyds Zombie Dust,235,
Academia,Avery Mephistopheles Stout,223,
Academia,Zima Citrus,209,
Academia,Creamy Dark,204,
Academia,Dogfish Head 90 Minute IPA,143,
Altitude Sky Lounge,Stolichnaya Citrona,151,
Altitude Sky Lounge,Three Floyds Dark Lord,198,
Altitude Sky Lounge,Brewery Ommegang Three Philosophers,204,
Altitude Sky Lounge,Sauza Diablo,126,
Altitude Sky Lounge,Hill Farmstead Everett Porter,139,
Altitude Sky Lounge,Zima,155,
Altitude Sky Lounge,Tröegs Nugget Nectar,222,
Altitude Sky Lounge,Russian River Pliny the Elder,152,
Altitude Sky Lounge,Wicked Weed Serenity,161,
Altitude Sky Lounge,Dale's Pale Ale,105,
Anvil Bar & Refuge,Lagunitas Brown Shugga,146,
Anvil Bar & Refuge,Sam Adams Boston Lager,179,
Anvil Bar & Refuge,Anchor Steam Beer,219,
Anvil Bar & Refuge,Russian River Pliny the Elder,139,
Anvil Bar & Refuge,Sierra Nevada Pale Ale,217,
Anvil Bar & Refuge,Michelob ULTRA,201,
Anvil Bar & Refuge,Cascade Brewing Apricot Ale,101,
Anvil Bar & Refuge,Hefeweizen,114,
Anvil Bar & Refuge,Avery Mephistopheles Stout,115,
Attaboy,Ballast Point Sculpin,151,
Attaboy,Green Flash Palate Wrecker,124,
Attaboy,Extra Gold,182,
Attaboy,Firestone Walker Wookey Jack,218,
Attaboy,Jester King Boxer’s Revenge,103,
Attaboy,Hill Farmstead Everett Porter,192,
Attaboy,Original Premium Lager Dog,186,
Attaboy,Cascade Brewing Apricot Ale,126,
Attaboy,Smuttynose Finest Kind IPA,210,
Attaboy,Sierra Nevada Pale Ale,104,
Attaboy,Wicked Weed Serenity,147,
Attaboy,Russian River Pliny the Elder,217,
B.D. Riley's,Terrapin Wake n Bake,137,
B.D. Riley's,Schlafly Pumpkin Ale,196,
B.D. Riley's,Upslope Brown Ale,218,
B.D. Riley's,Clown Shoes Undead Party Crasher,168,
B.D. Riley's,Half Acre Daisy Cutter,101,
B.D. Riley's,Firestone Walker Parabola,231,
B.D. Riley's,New Belgium Fat Tire,147,
B.D. Riley's,Boulevard Tank 7,197,
B.D. Riley's,Wild Heaven Eschaton,153,
B.D. Riley's,Brewery Ommegang Three Philosophers,101,
B.D. Riley's,Funky Buddha Maple Bacon Coffee Porter,241,
B.D. Riley's,Dale's Pale Ale,123,
BackBar,Jester King Boxer’s Revenge,120,
BackBar,Alpine Great,150,
BackBar,Sierra Nevada Pale Ale,183,
BackBar,Smuttynose Finest Kind IPA,240,
BackBar,Russian River Blind Pig IPA,176,
BackBar,Sauza Diablo,112,
BackBar,Hill Farmstead Abner,180,
Bar Agricole,Avery Uncle Jacob’s Stout,218,
Bar Agricole,Toppling Goliath PseudoSue,145,
Bar Agricole,Widmer Brothers Hefeweizen,100,
Bar Agricole,Michelob Golden Draft Light,160,
Bar Agricole,Stone IPA,107,
Bar Agricole,Lagunitas Brown Shugga,186,
Bar Agricole,The Bruery Sans Pagaie,183,
Bar Agricole,Cascade Brewing Apricot Ale,132,
Bar Agricole,Budweiser,188,
Bar Agricole,New Glarus Brewing Serendipity,166,
Bar Crudo ,Odell 90 Shilling Ale,164,
Bar Crudo ,Original Premium Lager Dog,128,
Bar Crudo ,New Holland Dragon’s Milk,113,
Bar Crudo ,North Coast Old Rasputin,228,
Bar Crudo ,Fullsteam Carver,214,
Bar Crudo ,Haymarket Angry Birds Rye IPA,134,
Bar Crudo ,Firestone Walker Parabola,241,
Bar Crudo ,New Belgium Fat Tire,234,
Bar Crudo ,Revolution Anti-Hero IPA,187,
Bar Crudo ,The Bruery Saison Rue,185,
Bar Crudo ,Russian River Pliny the Elder,235,
Bar Crudo ,ICEHOUSE,104,
Bar Crudo ,Stone Enjoy By… IPA,156,
Bar Crudo ,Troegs Mad Elf,117,
Bar Goto,Brooklyn Brewery Lager,127,
Bar Goto,DC Brau On the Wings Of Armageddon,155,
Bar Goto,Gigantic IPA,150,
Bar Goto,Avery Mephistopheles Stout,181,
Bar Goto,Hefeweizen,241,
Bar Goto,Original Premium Lager Dog,201,
Bar Goto,Southpaw Light,216,
Barnacle Bar,Pipeworks Citra,148,
Barnacle Bar,Brewery Ommegang Three Philosophers,216,
