BarName,ItemName,Price,
33 Taps,onion powder,13.75,
33 Taps,rose water,26.75,
33 Taps,pancetta,15.0,
33 Taps,huckleberries,16.5,
33 Taps,barley sugar,23.25,
33 Taps,lentils,24.99,
33 Taps,pecans,21.0,
33 Taps,nectarines,28.5,
33 Taps,bean threads,2.75,
33 Taps,fish sauce,12.99,
33 Taps,snow peas,11.75,
33 Taps,plum tomatoes,24.25,
33 Taps,capers,24.5,
33 Taps,apple pie spice,12.99,
33 Taps,pumpkins,26.25,
33 Taps,molasses,9.75,
33 Taps,chives,29.75,
33 Taps,Havarti cheese,2.0,
33 Taps,navy beans,22.5,
33 Taps,cremini mushrooms,29.5,
A.P. Stump's,prawns,21.25,
A.P. Stump's,raisins,4.99,
A.P. Stump's,kidney beans,9.0,
A.P. Stump's,apricots,2.75,
A.P. Stump's,ginger ale,23.75,
A.P. Stump's,hamburger,15.75,
A.P. Stump's,chocolate,4.99,
A.P. Stump's,chai,24.0,
A.P. Stump's,water chestnuts,27.99,
A.P. Stump's,split peas,5.0,
A.P. Stump's,parsnips,5.99,
A.P. Stump's,focaccia,22.75,
A.P. Stump's,coconuts,9.75,
A.P. Stump's,chives,29.75,
A.P. Stump's,red pepper flakes,12.0,
A.P. Stump's,pig's feet,5.99,
A.P. Stump's,sauerkraut,6.75,
Academia,almond milk,27.75,
Academia,peanut butter,9.25,
Academia,vanilla milkshake,8.25,
Academia,snapper,18.0,
Academia,romaine lettuce,18.25,
Academia,hoisin sauce,12.5,
Academia,bourbon,28.99,
Altitude Sky Lounge,tomatoes,10.75,
Altitude Sky Lounge,mushrooms,29.25,
Altitude Sky Lounge,cod,28.75,
Altitude Sky Lounge,turnips,24.25,
Altitude Sky Lounge,jicama,9.75,
Altitude Sky Lounge,ale,17.75,
Altitude Sky Lounge,gelatin,26.5,
Altitude Sky Lounge,rhubarb,25.25,
Altitude Sky Lounge,berries,14.0,
Altitude Sky Lounge,blackberries,25.99,
Altitude Sky Lounge,walnuts,6.25,
Altitude Sky Lounge,coffee,24.5,
Altitude Sky Lounge,lemon grass,7.25,
Altitude Sky Lounge,mussels,29.75,
Altitude Sky Lounge,chicory,16.75,
Altitude Sky Lounge,veal,7.5,
Altitude Sky Lounge,cottage cheese,23.5,
Altitude Sky Lounge,bard,5.75,
Altitude Sky Lounge,tomato paste,28.99,
Altitude Sky Lounge,potatoes,11.5,
Altitude Sky Lounge,ice cream,14.99,
Altitude Sky Lounge,turkeys,25.99,
Anvil Bar & Refuge,sage,26.0,
Anvil Bar & Refuge,heavy cream,20.75,
Anvil Bar & Refuge,red chile powder,29.5,
Anvil Bar & Refuge,buckwheat,2.75,
Anvil Bar & Refuge,sea cucumbers,21.99,
Anvil Bar & Refuge,bard,5.75,
Anvil Bar & Refuge,broth,28.99,
Anvil Bar & Refuge,orange juice,9.75,
Anvil Bar & Refuge,chocolate,4.99,
Anvil Bar & Refuge,mackerel,22.25,
Anvil Bar & Refuge,pine nuts,18.99,
Anvil Bar & Refuge,flour,13.5,
Anvil Bar & Refuge,poultry seasoning,23.0,
Anvil Bar & Refuge,chipotle peppers,8.25,
Anvil Bar & Refuge,chai,24.0,
Anvil Bar & Refuge,baking soda,22.0,
Anvil Bar & Refuge,lamb,14.99,
Anvil Bar & Refuge,quail,25.99,
Anvil Bar & Refuge,chicken,29.0,
Anvil Bar & Refuge,monkfish,24.5,
Anvil Bar & Refuge,gelatin,26.5,
Anvil Bar & Refuge,Marsala,12.25,
Anvil Bar & Refuge,feta cheese,17.99,
Anvil Bar & Refuge,andouille sausage,6.75,
Anvil Bar & Refuge,cayenne pepper,4.75,
Anvil Bar & Refuge,soybeans,16.5,
Anvil Bar & Refuge,oregano,5.5,
Anvil Bar & Refuge,cremini mushrooms,29.5,
Anvil Bar & Refuge,cider,21.5,
Anvil Bar & Refuge,red cabbage,29.0,
Anvil Bar & Refuge,okra,5.5,
Anvil Bar & Refuge,hot chocolate,18.5,
Anvil Bar & Refuge,pink beans,3.0,
Anvil Bar & Refuge,ricotta cheese,4.0,
Anvil Bar & Refuge,dill,19.75,
Anvil Bar & Refuge,tortillas,18.5,
Anvil Bar & Refuge,hot sauce,7.99,
Anvil Bar & Refuge,pumpkin seeds,19.75,
Anvil Bar & Refuge,milk,11.75,
Anvil Bar & Refuge,grapes,17.5,
Anvil Bar & Refuge,artichokes,21.0,
Anvil Bar & Refuge,chicken liver,10.5,
Anvil Bar & Refuge,swiss cheese,28.75,
Attaboy,sardines,7.0,
Attaboy,peanut butter,9.25,
Attaboy,barley,14.5,
Attaboy,sunflower seeds,26.5,
Attaboy,flour,13.5,
Attaboy,strawberry milkshake,11.0,
Attaboy,red cabbage,29.0,
Attaboy,fennel,16.0,
Attaboy,raspberries,27.75,
Attaboy,almond paste,21.25,
Attaboy,Kahlua,17.5,
Attaboy,horseradish,28.75,
Attaboy,barbecue sauce,13.25,
Attaboy,haddock,28.0,
Attaboy,cottage cheese,23.5,
Attaboy,bouillon,7.0,
Attaboy,bard,5.75,
Attaboy,croutons,15.0,
Attaboy,tarragon,7.25,
Attaboy,cayenne pepper,4.75,
Attaboy,chives,29.75,
Attaboy,pomegranates,22.5,
Attaboy,margarine,8.25,
Attaboy,olives,12.99,
Attaboy,tomatoes,10.75,
Attaboy,remoulade,13.99,
Attaboy,spaghetti squash,22.75,
Attaboy,poppy seeds,13.75,
Attaboy,spinach,10.75,
